gid,gid_root,gid0,file_country,level,file
Z02,Z02,Z02,CHN,0,gadm41_CHN_0.json
Z03,Z03,Z03,CHN,0,gadm41_CHN_0.json
Z08,Z08,Z08,CHN,0,gadm41_CHN_0.json
Z01,Z01,Z01,IND,0,gadm41_IND_0.json
Z04,Z04,Z04,IND,0,gadm41_IND_0.json
Z05,Z05,Z05,IND,0,gadm41_IND_0.json
Z07,Z07,Z07,IND,0,gadm41_IND_0.json
Z09,Z09,Z09,IND,0,gadm41_IND_0.json
Z07.3_1,Z07,Z07,IND,1,gadm41_IND_1.json
Z04.13_1,Z04,Z04,IND,1,gadm41_IND_1.json
Z09.13_1,Z09,Z09,IND,1,gadm41_IND_1.json
Z01.14_1,Z01,Z01,IND,1,gadm41_IND_1.json
Z05.35_1,Z05,Z05,IND,1,gadm41_IND_1.json
Z09.35_1,Z09,Z09,IND,1,gadm41_IND_1.json
Z06.1_1,Z06,Z06,IND,1,gadm41_IND_1.json
Z06.6_1,Z06,Z06,IND,1,gadm41_IND_1.json
Z02.28_1,Z02,Z02,IND,1,gadm41_IND_1.json
Z03.28_1,Z03,Z03,IND,1,gadm41_IND_1.json
Z03.29_1,Z03,Z03,IND,1,gadm41_IND_1.json
Z08.29_1,Z08,Z08,IND,1,gadm41_IND_1.json
Z07.3.1_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.3_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.4_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.5_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.6_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.7_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.9_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.10_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.12_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.13_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.15_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.16_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.17_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z07.3.18_1,Z07,Z07,IND,2,gadm41_IND_2.json
Z04.13.5_1,Z04,Z04,IND,2,gadm41_IND_2.json
Z09.13.5_1,Z09,Z09,IND,2,gadm41_IND_2.json
Z04.13.7_1,Z04,Z04,IND,2,gadm41_IND_2.json
Z01.14.1_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.2_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.3_1,Z01,Z01,IND,2,gadm41_IND_2.json
