name,level,country_guess,name_starts_with,matched_country,gid
Z05,0,,False,IND,Z05
Z09.35,1,,False,IND,Z09.35_1
Z09.13,1,,False,IND,Z09.13_1
Z04,0,,False,IND,Z04
Z03,0,,False,CHN,Z03
Z08,0,,False,CHN,Z08
Z02,0,,False,CHN,Z02
Z07,0,,False,IND,Z07
IND.13.4,2,IND,False,IND,IND.13.4_1
IND.13.3,2,IND,False,IND,IND.13.3_1
IND.13.12,2,IND,False,IND,IND.13.12_1
IND.13.1,2,IND,False,IND,IND.13.1_1
IND.13.11,2,IND,False,IND,IND.13.11_1
IND.13.10,2,IND,False,IND,IND.13.10_1
IND.35.5,2,IND,False,IND,IND.35.5_1
IND.35.7,2,IND,False,IND,IND.35.7_1
IND.35.8,2,IND,False,IND,IND.35.8_1
IND.35.12,2,IND,False,IND,IND.35.12_1
NPL.3.1.4,3,NPL,False,NPL,NPL.3.1.4_1
NPL.3.2.5,3,NPL,False,NPL,NPL.3.2.5_1
NPL.4.1.1,3,NPL,False,NPL,NPL.4.1.1_1
NPL.4.1.2,3,NPL,False,NPL,NPL.4.1.2_1
NPL.5.3.3,3,NPL,False,NPL,NPL.5.3.3_1
NPL.5.3.6,3,NPL,False,NPL,NPL.5.3.6_1
NPL.5.3.4,3,NPL,False,NPL,NPL.5.3.4_1
NPL.1.3.4,3,NPL,False,NPL,NPL.1.3.4_1
NPL.1.3.1,3,NPL,False,NPL,NPL.1.3.1_1
NPL.1.3.5,3,NPL,False,NPL,NPL.1.3.5_1
NPL.1.2.5,3,NPL,False,NPL,NPL.1.2.5_1
NPL.1.2.3,3,NPL,False,NPL,NPL.1.2.3_1
NPL.1.2.1,3,NPL,False,NPL,NPL.1.2.1_1
NPL.1.3.2,3,NPL,False,NPL,NPL.1.3.2_1
NPL.2.3.4,3,NPL,False,NPL,NPL.2.3.4_1
NPL.2.3.3,3,NPL,False,NPL,NPL.2.3.3_1
NPL.2.1.3,3,NPL,False,NPL,NPL.2.1.3_1
NPL.2.1.5,3,NPL,False,NPL,NPL.2.1.5_1
NPL.2.2.2,3,NPL,False,NPL,NPL.2.2.2_1
Darjiling,2,,False,IND,IND.36.6_1
Jalpaiguri,2,,False,IND,IND.36.9_1
Alipurduar,2,,False,IND,IND.36.1_1
KochBihar,2,,False,IND,IND.36.10_1
HimachalPradesh,1,IND,False,IND,IND.13_1
Uttarakhand,1,IND,False,IND,IND.35_1
Nepal,0,NPL,False,NPL,NPL
Z01.14.13,2,IND,False,IND,Z01.14.13_1
Kargil,2,,False,IND,Z01.14.8_1
Z01.14.10,2,IND,False,IND,Z01.14.10_1
Z01.14.5,2,IND,False,IND,Z01.14.5_1
Z01.14.17,2,IND,False,IND,Z01.14.17_1
Z01.14.18,2,IND,False,IND,Z01.14.18_1
Z01.14.22,2,IND,False,IND,Z01.14.22_1
Jammu,2,,False,IND,Z01.14.7_1
Z01.14.19,2,IND,False,IND,Z01.14.19_1
Z01.14.9,2,IND,False,IND,Z01.14.9_1
JammuandKashmir,1,,False,IND,Z01.14_1
Z06.1,1,PAK,False,PAK,Z06.1_1
Z01.14.16,2,IND,False,IND,Z01.14.16_1
Z01.14.14,2,IND,False,IND,Z01.14.14_1
Z06.1.1.6,3,PAK,False,PAK,Z06.1.1.6_1
Z06.1.1.5,3,PAK,False,PAK,Z06.1.1.5_1
Gilgit-Baltistan,1,,False,PAK,Z06.6_1
Malakand,2,,False,PAK,PAK.5.6_1
Hazara,2,,False,PAK,PAK.5.4_1
IND.4.4,2,IND,False,IND,IND.4.4_1
IND.4.10,2,IND,False,IND,IND.4.10_1
IND.4.13,2,IND,False,IND,IND.4.13_1
IND.4.18,2,IND,False,IND,IND.4.18_1
IND.4.17,2,IND,False,IND,IND.4.17_1
IND.4.22,2,IND,False,IND,IND.4.22_1
Assam,1,IND,False,IND,IND.4_1
ArunachalPradesh,1,IND,False,IND,IND.3_1
Meghalaya,1,IND,False,IND,IND.22_1
Nagaland,1,IND,False,IND,IND.24_1
Manipur,1,IND,False,IND,IND.21_1
Mizoram,1,IND,False,IND,IND.23_1
Tripura,1,IND,False,IND,IND.33_1
PAK.3,1,PAK,False,PAK,PAK.3_1
Bhutan,0,BTN,False,BTN,BTN
Sikkim,1,IND,False,IND,IND.30_1
CHN.29,1,CHN,False,CHN,CHN.29_1
CHN.21,1,CHN,False,CHN,CHN.21_1
CHN.26.5,2,CHN,False,CHN,CHN.26.5_1
CHN.26.16,2,CHN,False,CHN,CHN.26.16_1
NPL.4.2.1,3,NPL,False,NPL,NPL.4.2.1_1
NPL.4.2.2,3,NPL,False,NPL,NPL.4.2.2_1
NPL.4.2.5,3,NPL,False,NPL,NPL.4.2.5_1
NPL.5.1,2,NPL,False,NPL,NPL.5.1_1
NPL.5.2,2,NPL,False,NPL,NPL.5.2_1
NPL.1.1,2,NPL,False,NPL,NPL.1.1_1
NPL.1.2.2,3,NPL,False,NPL,NPL.1.2.2_1
NPL.1.2.4,3,NPL,False,NPL,NPL.1.2.4_1
