gid_root,file_country,level,file
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
HKG,CHN,2,gadm41_CHN_2.json
MAC,CHN,2,gadm41_CHN_2.json
MAC,CHN,2,gadm41_CHN_2.json
MAC,CHN,3,gadm41_CHN_3.json
MAC,CHN,3,gadm41_CHN_3.json
MAC,CHN,3,gadm41_CHN_3.json
MAC,CHN,3,gadm41_CHN_3.json
MAC,CHN,3,gadm41_CHN_3.json
MAC,CHN,3,gadm41_CHN_3.json
MAC,CHN,3,gadm41_CHN_3.json
MAC,CHN,3,gadm41_CHN_3.json
Z01,IND,0,gadm41_IND_0.json
Z01,IND,1,gadm41_IND_1.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,2,gadm41_IND_2.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z01,IND,3,gadm41_IND_3.json
Z02,CHN,0,gadm41_CHN_0.json
Z02,CHN,1,gadm41_CHN_1.json
Z02,CHN,2,gadm41_CHN_2.json
Z02,CHN,3,gadm41_CHN_3.json
Z03,CHN,0,gadm41_CHN_0.json
Z03,CHN,1,gadm41_CHN_1.json
Z03,CHN,1,gadm41_CHN_1.json
Z03,CHN,2,gadm41_CHN_2.json
Z03,CHN,2,gadm41_CHN_2.json
Z03,CHN,3,gadm41_CHN_3.json
Z03,CHN,3,gadm41_CHN_3.json
Z04,IND,0,gadm41_IND_0.json
Z04,IND,1,gadm41_IND_1.json
Z04,IND,2,gadm41_IND_2.json
Z04,IND,2,gadm41_IND_2.json
Z04,IND,3,gadm41_IND_3.json
Z04,IND,3,gadm41_IND_3.json
Z05,IND,0,gadm41_IND_0.json
Z05,IND,1,gadm41_IND_1.json
